pathway	gene
Tuberculosis	Calml3
Tuberculosis	Itgb2l
Tuberculosis	Fcer1g
Tuberculosis	Cd209c
Tuberculosis	Plk3
Tuberculosis	Nod2
Tuberculosis	Mapk10
Tuberculosis	Cebpg
Tuberculosis	Cyp27b1
Tuberculosis	Ifnb1
Tuberculosis	Tgfb1
Tuberculosis	Il10ra
Tuberculosis	Atp6v0a4
Tuberculosis	Irak4
Tuberculosis	Calm5
Tuberculosis	Camk2g
Tuberculosis	Lsp1
Tuberculosis	Atp6v0b
Tuberculosis	Calm1
Tuberculosis	Tlr2
Tuberculosis	Tcirg1
Tuberculosis	Mapk14
Tuberculosis	H2-Ea
Tuberculosis	Raf1
Tuberculosis	Bid
Tuberculosis	Il1b
Tuberculosis	Cebpb
Tuberculosis	Camp
Tuberculosis	Ifna16
Tuberculosis	Cd209g
Tuberculosis	Clec7a
Tuberculosis	Mapk8
Tuberculosis	Cd14
Tuberculosis	Tlr9
Tuberculosis	Tnf
Tuberculosis	Calm2
Tuberculosis	Coro1a
Tuberculosis	Cd209d
Tuberculosis	Ifna7
Tuberculosis	Ifna15
Tuberculosis	Ifna13
Tuberculosis	Ifngr1
Tuberculosis	Mrc1
Tuberculosis	Cr1l
Tuberculosis	Il12b
Tuberculosis	Il12a
Tuberculosis	Nfya
Tuberculosis	Bax
Tuberculosis	Itgax
Tuberculosis	Ifnab
Tuberculosis	Tlr4
Tuberculosis	Cd209e
Tuberculosis	Arhgef12
Tuberculosis	Sphk1
Tuberculosis	Lbp
Tuberculosis	Atp6v1h
Tuberculosis	Nfkb1
Tuberculosis	Tlr6
Tuberculosis	Tradd
Tuberculosis	Traf6
Tuberculosis	Atp6v0c
Tuberculosis	Hspd1
Tuberculosis	Calm4
Tuberculosis	Ifna4
Tuberculosis	Cyct
Tuberculosis	Fcgr1
Tuberculosis	Rab5c
Tuberculosis	Hspa9
Tuberculosis	Pla2r1
Tuberculosis	Tlr1
Tuberculosis	Tnfrsf1a
Tuberculosis	Cd209b
Tuberculosis	Rab7
Tuberculosis	Ppp3ca
Tuberculosis	Ciita
Tuberculosis	Jak1
Tuberculosis	Atp6v0a1
Tuberculosis	Irak2
Tuberculosis	Bcl10
Tuberculosis	Mapk12
Tuberculosis	Stat1
Tuberculosis	Ppp3cb
Tuberculosis	Ifna1
Tuberculosis	Il10
Tuberculosis	Vdr
Tuberculosis	Mrc2
Tuberculosis	Malt1
Tuberculosis	Il6
Tuberculosis	Il1a
Tuberculosis	Calml4
Tuberculosis	Cd74
Tuberculosis	Akt2
Tuberculosis	Lamp2
Tuberculosis	Ppp3cc
Tuberculosis	Itgam
Tuberculosis	Lamp1
Tuberculosis	Creb1
Tuberculosis	H2-DMb2
Tuberculosis	Nfyb
Tuberculosis	Nos2
Tuberculosis	Il10rb
Tuberculosis	Calm3
Tuberculosis	Mapk1
Tuberculosis	Camk2b
Tuberculosis	Rfx5
Tuberculosis	Tgfb2
Tuberculosis	Nfyc
Tuberculosis	Atp6ap1
Tuberculosis	Ifngr2
Tuberculosis	Tirap
Tuberculosis	Myd88
Tuberculosis	Ep300
Tuberculosis	Ctss
Tuberculosis	Ifna14
Tuberculosis	Rab5a
Tuberculosis	Casp8
Tuberculosis	Ifna9
Tuberculosis	Rhoa
Tuberculosis	Src
Tuberculosis	Mapk11
Tuberculosis	Clec4e
Tuberculosis	Fcgr2b
Tuberculosis	Mapk3
Tuberculosis	H2-DMb1
Tuberculosis	Mapk13
Tuberculosis	H2-Eb2
Tuberculosis	H2-Eb1
Tuberculosis	Casp3
Tuberculosis	Ppp3r2
Tuberculosis	Card9
Tuberculosis	H2-Aa
Tuberculosis	Ksr1
Tuberculosis	H2-DMa
Tuberculosis	Cd209a
Tuberculosis	Akt1
Tuberculosis	Ifna2
Tuberculosis	Rfxank
Tuberculosis	Ifna5
Tuberculosis	C3
Tuberculosis	Crebbp
Tuberculosis	Fcgr4
Tuberculosis	Casp9
Tuberculosis	Fadd
Tuberculosis	Il18
Tuberculosis	Il23a
Tuberculosis	Fcgr3
Tuberculosis	Ifna11
Tuberculosis	Irak1
Tuberculosis	Camk2d
Tuberculosis	Tgfb3
Tuberculosis	Camk2a
Tuberculosis	Bad
Tuberculosis	Ifng
Tuberculosis	Cd209f
Tuberculosis	Rfxap
Tuberculosis	Ripk2
Tuberculosis	Cycs
Tuberculosis	Ppp3r1
Tuberculosis	Sphk2
Tuberculosis	Apaf1
Tuberculosis	Bcl2
Tuberculosis	Akt3
Tuberculosis	H2-Oa
Tuberculosis	4930544G11Rik
Tuberculosis	Atp6v0d2
Tuberculosis	Eea1
Tuberculosis	Syk
Tuberculosis	Atp6v0d1
Tuberculosis	Rela
Tuberculosis	Ifna12
Tuberculosis	Ctsd
Bacterial invasion of epithelial cells	Cav3
Bacterial invasion of epithelial cells	Arpc4
Bacterial invasion of epithelial cells	Arpc5l
Bacterial invasion of epithelial cells	Pxn
Bacterial invasion of epithelial cells	Ctnna2
Bacterial invasion of epithelial cells	Septin12
Bacterial invasion of epithelial cells	Septin11
Bacterial invasion of epithelial cells	Arhgap10
Bacterial invasion of epithelial cells	Itga5
Bacterial invasion of epithelial cells	Actb
Bacterial invasion of epithelial cells	Pik3r1
Bacterial invasion of epithelial cells	Elmo2
Bacterial invasion of epithelial cells	Pik3r2
Bacterial invasion of epithelial cells	Dock1
Bacterial invasion of epithelial cells	Dnm2
Bacterial invasion of epithelial cells	Septin6
Bacterial invasion of epithelial cells	Itgb1
Bacterial invasion of epithelial cells	Elmo3
Bacterial invasion of epithelial cells	Arpc2
Bacterial invasion of epithelial cells	Cltb
Bacterial invasion of epithelial cells	Ctnnb1
Bacterial invasion of epithelial cells	Septin2
Bacterial invasion of epithelial cells	Arhgef26
Bacterial invasion of epithelial cells	Dnm3
Bacterial invasion of epithelial cells	Crkl
Bacterial invasion of epithelial cells	Pik3cb
Bacterial invasion of epithelial cells	Clta
Bacterial invasion of epithelial cells	Cav2
Bacterial invasion of epithelial cells	Septin1
Bacterial invasion of epithelial cells	Ptk2
Bacterial invasion of epithelial cells	Cltc
Bacterial invasion of epithelial cells	Mad2l2
Bacterial invasion of epithelial cells	Wasf1
Bacterial invasion of epithelial cells	Gab1
Bacterial invasion of epithelial cells	Vcl
Bacterial invasion of epithelial cells	Cttn
Bacterial invasion of epithelial cells	Shc1
Bacterial invasion of epithelial cells	Wasf2
Bacterial invasion of epithelial cells	Cav1
Bacterial invasion of epithelial cells	Pik3r3
Bacterial invasion of epithelial cells	Bcar1
Bacterial invasion of epithelial cells	Actr2
Bacterial invasion of epithelial cells	Actg1
Bacterial invasion of epithelial cells	Elmo1
Bacterial invasion of epithelial cells	Pik3cd
Bacterial invasion of epithelial cells	Arpc1a
Bacterial invasion of epithelial cells	Crk
Bacterial invasion of epithelial cells	Shc3
Bacterial invasion of epithelial cells	Septin3
Bacterial invasion of epithelial cells	Actr3b
Bacterial invasion of epithelial cells	Fn1
Bacterial invasion of epithelial cells	Ctnna3
Bacterial invasion of epithelial cells	Shc4
Bacterial invasion of epithelial cells	Rhoa
Bacterial invasion of epithelial cells	Src
Bacterial invasion of epithelial cells	Hcls1
Bacterial invasion of epithelial cells	Shc2
Bacterial invasion of epithelial cells	Septin9
Bacterial invasion of epithelial cells	Ilk
Bacterial invasion of epithelial cells	4930544G11Rik
Bacterial invasion of epithelial cells	Rac1
Bacterial invasion of epithelial cells	Rhog
Bacterial invasion of epithelial cells	Dnm1
Bacterial invasion of epithelial cells	Cd2ap
Bacterial invasion of epithelial cells	Wasl
Bacterial invasion of epithelial cells	Septin8
Bacterial invasion of epithelial cells	Arpc5
Bacterial invasion of epithelial cells	Met
Bacterial invasion of epithelial cells	Cbl
Bacterial invasion of epithelial cells	Ctnna1
Bacterial invasion of epithelial cells	Cdh1
Bacterial invasion of epithelial cells	Actr3
Bacterial invasion of epithelial cells	Arpc1b
Bacterial invasion of epithelial cells	Cdc42
Bacterial invasion of epithelial cells	Pik3ca
Bacterial invasion of epithelial cells	Arpc3
Amoebiasis	Itgb2
Amoebiasis	Lamc1
Amoebiasis	Serpinb6c
Amoebiasis	Ctsg
Amoebiasis	Serpinb9
Amoebiasis	Col4a1
Amoebiasis	Gna15
Amoebiasis	Rab5b
Amoebiasis	Itgb2l
Amoebiasis	Lamb3
Amoebiasis	Cd1d2
Amoebiasis	Gna11
Amoebiasis	Lama1
Amoebiasis	Tgfb1
Amoebiasis	Tlr2
Amoebiasis	Muc2
Amoebiasis	Vcl
Amoebiasis	Cd1d1
Amoebiasis	Col4a4
Amoebiasis	Il1b
Amoebiasis	Lamb2
Amoebiasis	Csf2
Amoebiasis	Cd14
Amoebiasis	Serpinb9e
Amoebiasis	Tnf
Amoebiasis	Arg2
Amoebiasis	Lamc3
Amoebiasis	Il12b
Amoebiasis	Plcb2
Amoebiasis	Serpinb3a
Amoebiasis	Serpinb3c
Amoebiasis	Il12a
Amoebiasis	Col3a1
Amoebiasis	Tlr4
Amoebiasis	Prkcb
Amoebiasis	Arg1
Amoebiasis	Pik3r1
Amoebiasis	Nfkb1
Amoebiasis	Pik3r2
Amoebiasis	Serpinb9c
Amoebiasis	Adcy1
Amoebiasis	Rab5c
Amoebiasis	Serpinb13
Amoebiasis	Lama2
Amoebiasis	Col4a2
Amoebiasis	Ptk2
Amoebiasis	Serpinb9g
Amoebiasis	Lamc2
Amoebiasis	Rab7
Amoebiasis	Serpinb9h
Amoebiasis	Pik3cd
Amoebiasis	C8b
Amoebiasis	Serpinb9b
Amoebiasis	Serpinb6b
Amoebiasis	Col1a1
Amoebiasis	Il10
Amoebiasis	Il6
Amoebiasis	Prkcg
Amoebiasis	C8g
Amoebiasis	C9
Amoebiasis	Itgam
Amoebiasis	C8a
Amoebiasis	Plcb1
Amoebiasis	Actn1
Amoebiasis	Nos2
Amoebiasis	Hspb1
Amoebiasis	Pik3cb
Amoebiasis	Serpinb6a
Amoebiasis	Tgfb2
Amoebiasis	Pik3r3
Amoebiasis	Prdx1
Amoebiasis	Rab5a
Amoebiasis	Col4a5
Amoebiasis	Fn1
Amoebiasis	Col1a2
Amoebiasis	Il1r1
Amoebiasis	Actn4
Amoebiasis	Serpinb9f
Amoebiasis	Casp3
Amoebiasis	Lama4
Amoebiasis	Prkca
Amoebiasis	Lamb1
Amoebiasis	Gnal
Amoebiasis	Gnas
Amoebiasis	Cxcl1
Amoebiasis	Cxcl3
Amoebiasis	Rab7b
Amoebiasis	Col4a6
Amoebiasis	Cxcl2
Amoebiasis	Serpinb10
Amoebiasis	Prkaca
Amoebiasis	Lama5
Amoebiasis	Plcb3
Amoebiasis	Serpinb9d
Amoebiasis	Gna14
Amoebiasis	Prkacb
Amoebiasis	Col4a3
Amoebiasis	Lama3
Amoebiasis	Tgfb3
Amoebiasis	Ifng
Amoebiasis	Plcb4
Amoebiasis	Serpinb3b
Amoebiasis	Gnaq
Amoebiasis	Il1r2
Amoebiasis	Rela
Amoebiasis	Serpinb3d
Amoebiasis	Pik3ca
Malaria	Itgb2
Malaria	Comp
Malaria	Ackr1
Malaria	Hba-a2
Malaria	Hbb-bs
Malaria	Il12a
Malaria	Il6
Malaria	Vcam1
Malaria	Cd36
Malaria	Tlr4
Malaria	Hbb-bh2
Malaria	Ccl12
Malaria	Thbs1
Malaria	Cd40lg
Malaria	Hbb-b1
Malaria	Itgb2l
Malaria	Hgf
Malaria	Hbb-bt
Malaria	Klrb1a
Malaria	Tgfb1
Malaria	Lrp1
Malaria	Klrb1
Malaria	Il18
Malaria	Thbs2
Malaria	Gypa
Malaria	Tlr2
Malaria	Tgfb2
Malaria	Ccl2
Malaria	Thbs3
Malaria	Tgfb3
Malaria	Klrk1
Malaria	Ifng
Malaria	Myd88
Malaria	Hba-a1
Malaria	Pecam1
Malaria	Cd81
Malaria	Gypc
Malaria	Sdc1
Malaria	Klra4
Malaria	Il1b
Malaria	Cd40
Malaria	Klrb1f
Malaria	Tlr9
Malaria	Selp
Malaria	Thbs4
Malaria	Tnf
Malaria	Klrb1c
Malaria	Klrb1b
Malaria	Csf3
Malaria	Itgal
Malaria	Sdc2
Malaria	Met
Malaria	Hbb-b2
Malaria	Il10
Malaria	Sele
Malaria	Icam1
Malaria	Cr1l
Toxoplasmosis	H2-Ab1
Toxoplasmosis	H2-Ob
Toxoplasmosis	Bcl2l1
Toxoplasmosis	Lamc1
Toxoplasmosis	Mapk9
Toxoplasmosis	Pik3r6
Toxoplasmosis	Jak2
Toxoplasmosis	Cd40lg
Toxoplasmosis	Hspa1a
Toxoplasmosis	Lamb3
Toxoplasmosis	Tyk2
Toxoplasmosis	Itgb1
Toxoplasmosis	Lama1
Toxoplasmosis	Nfkbia
Toxoplasmosis	Mapk10
Toxoplasmosis	Nfkbib
Toxoplasmosis	Tgfb1
Toxoplasmosis	Il10ra
Toxoplasmosis	Ly96
Toxoplasmosis	Irak4
Toxoplasmosis	Hspa1b
Toxoplasmosis	Tlr2
Toxoplasmosis	Birc3
Toxoplasmosis	Mapk14
Toxoplasmosis	H2-Ea
Toxoplasmosis	Tab2
Toxoplasmosis	Gnai1
Toxoplasmosis	Lamb2
Toxoplasmosis	Mapk8
Toxoplasmosis	Igtp
Toxoplasmosis	Ikbkg
Toxoplasmosis	Tnf
Toxoplasmosis	Ifngr1
Toxoplasmosis	Chuk
Toxoplasmosis	Lamc3
Toxoplasmosis	Il12b
Toxoplasmosis	Il12a
Toxoplasmosis	Tlr4
Toxoplasmosis	Nfkb1
Toxoplasmosis	Traf6
Toxoplasmosis	Gnai3
Toxoplasmosis	Cyct
Toxoplasmosis	Stat3
Toxoplasmosis	Ppif
Toxoplasmosis	Lama2
Toxoplasmosis	Gnao1
Toxoplasmosis	Hspa1l
Toxoplasmosis	Lamc2
Toxoplasmosis	Tnfrsf1a
Toxoplasmosis	Pik3r5
Toxoplasmosis	Cd40
Toxoplasmosis	Ciita
Toxoplasmosis	Irgm2
Toxoplasmosis	Jak1
Toxoplasmosis	Mapk12
Toxoplasmosis	Stat1
Toxoplasmosis	Ccr5
Toxoplasmosis	Il10
Toxoplasmosis	Birc2
Toxoplasmosis	Alox5
Toxoplasmosis	Akt2
Toxoplasmosis	Socs1
Toxoplasmosis	Map2k6
Toxoplasmosis	H2-DMb2
Toxoplasmosis	Tab1
Toxoplasmosis	Nos2
Toxoplasmosis	Il10rb
Toxoplasmosis	Mapk1
Toxoplasmosis	Irgm1
Toxoplasmosis	Tgfb2
Toxoplasmosis	Ifngr2
Toxoplasmosis	Ldlr
Toxoplasmosis	Pik3cg
Toxoplasmosis	Myd88
Toxoplasmosis	Gnai2
Toxoplasmosis	Casp8
Toxoplasmosis	Mapk11
Toxoplasmosis	Pdpk1
Toxoplasmosis	Mapk3
Toxoplasmosis	H2-DMb1
Toxoplasmosis	Map2k3
Toxoplasmosis	Mapk13
Toxoplasmosis	H2-Eb2
Toxoplasmosis	Xiap
Toxoplasmosis	H2-Eb1
Toxoplasmosis	Casp3
Toxoplasmosis	Lama4
Toxoplasmosis	H2-Aa
Toxoplasmosis	H2-DMa
Toxoplasmosis	Lamb1
Toxoplasmosis	Akt1
Toxoplasmosis	Map3k7
Toxoplasmosis	Lama5
Toxoplasmosis	Casp9
Toxoplasmosis	Irak1
Toxoplasmosis	Hspa8
Toxoplasmosis	Lama3
Toxoplasmosis	Tlr11
Toxoplasmosis	Tgfb3
Toxoplasmosis	Ifng
Toxoplasmosis	Bad
Toxoplasmosis	Cycs
Toxoplasmosis	Birc7
Toxoplasmosis	Bcl2
Toxoplasmosis	Akt3
Toxoplasmosis	H2-Oa
Toxoplasmosis	Itga6
Toxoplasmosis	Ikbkb
Toxoplasmosis	Rela
Leishmaniasis	H2-Ab1
Leishmaniasis	Il4
Leishmaniasis	H2-Ob
Leishmaniasis	H2-DMa
Leishmaniasis	Il12a
Leishmaniasis	Itgb2
Leishmaniasis	Il1a
Leishmaniasis	Eef1a2
Leishmaniasis	Tlr4
Leishmaniasis	Prkcb
Leishmaniasis	Jak2
Leishmaniasis	Il10
Leishmaniasis	Ptgs2
Leishmaniasis	Cybb
Leishmaniasis	Ptpn6
Leishmaniasis	Itgam
Leishmaniasis	Itgb2l
Leishmaniasis	Nfkb1
Leishmaniasis	Traf6
Leishmaniasis	Itgb1
Leishmaniasis	Map3k7
Leishmaniasis	C3
Leishmaniasis	Fos
Leishmaniasis	Cyba
Leishmaniasis	Elk1
Leishmaniasis	H2-DMb2
Leishmaniasis	Nfkbia
Leishmaniasis	Nfkbib
Leishmaniasis	Tab1
Leishmaniasis	Nos2
Leishmaniasis	Fcgr4
Leishmaniasis	Fcgr1
Leishmaniasis	Tgfb1
Leishmaniasis	Irak4
Leishmaniasis	Mapk1
Leishmaniasis	Il12b
Leishmaniasis	Marcksl1
Leishmaniasis	Fcgr3
Leishmaniasis	Irak1
Leishmaniasis	Tlr2
Leishmaniasis	Mapk14
Leishmaniasis	H2-Ea
Leishmaniasis	Tgfb2
Leishmaniasis	Tab2
Leishmaniasis	Ifngr2
Leishmaniasis	Tgfb3
Leishmaniasis	Eef1a1
Leishmaniasis	Ifng
Leishmaniasis	Myd88
Leishmaniasis	Ncf1
Leishmaniasis	Il1b
Leishmaniasis	Ncf2
Leishmaniasis	Ncf4
Leishmaniasis	Mapk11
Leishmaniasis	Jak1
Leishmaniasis	Jun
Leishmaniasis	H2-Oa
Leishmaniasis	Tnf
Leishmaniasis	H2-DMb1
Leishmaniasis	Mapk3
Leishmaniasis	Mapk13
Leishmaniasis	Mapk12
Leishmaniasis	H2-Eb2
Leishmaniasis	Stat1
Leishmaniasis	Ifngr1
Leishmaniasis	H2-Eb1
Leishmaniasis	Itga4
Leishmaniasis	Rela
Leishmaniasis	H2-Aa
Leishmaniasis	Cr1l
Chagas disease	C1qa
Chagas disease	Mapk9
Chagas disease	Fas
Chagas disease	Gna15
Chagas disease	Gna11
Chagas disease	Nfkbia
Chagas disease	Mapk10
Chagas disease	Fasl
Chagas disease	Ifnb1
Chagas disease	Tgfb1
Chagas disease	Irak4
Chagas disease	Tlr2
Chagas disease	Mapk14
Chagas disease	Gnai1
Chagas disease	Il1b
Chagas disease	Serpine1
Chagas disease	Jun
Chagas disease	Mapk8
Chagas disease	Tlr9
Chagas disease	Ikbkg
Chagas disease	Tnf
Chagas disease	Cd3d
Chagas disease	Ifngr1
Chagas disease	Cd3e
Chagas disease	Chuk
Chagas disease	Il12b
Chagas disease	Plcb2
Chagas disease	Ace
Chagas disease	Il12a
Chagas disease	Tlr4
Chagas disease	Pik3r2
Chagas disease	Pik3r1
Chagas disease	Nfkb1
Chagas disease	Ccl12
Chagas disease	Tlr6
Chagas disease	Smad2
Chagas disease	Traf6
Chagas disease	Cflar
Chagas disease	Gnai3
Chagas disease	Adcy1
Chagas disease	Ticam1
Chagas disease	Cd3g
Chagas disease	Calr4
Chagas disease	Cd247
Chagas disease	Gnao1
Chagas disease	Tnfrsf1a
Chagas disease	Pik3cd
Chagas disease	Tgfbr1
Chagas disease	Ccl3
Chagas disease	Mapk12
Chagas disease	C1qc
Chagas disease	Il10
Chagas disease	Il6
Chagas disease	Akt2
Chagas disease	Plcb1
Chagas disease	Fos
Chagas disease	Ppp2cb
Chagas disease	Kng2
Chagas disease	Nos2
Chagas disease	Pik3cb
Chagas disease	Mapk1
Chagas disease	Ppp2r2a
Chagas disease	Tgfb2
Chagas disease	Ppp2r2d
Chagas disease	Ifngr2
Chagas disease	Pik3r3
Chagas disease	Myd88
Chagas disease	Ppp2ca
Chagas disease	Gnai2
Chagas disease	Casp8
Chagas disease	Mapk11
Chagas disease	Mapk3
Chagas disease	Mapk13
Chagas disease	Il2
Chagas disease	Kng1
Chagas disease	Ppp2r1b
Chagas disease	Gnal
Chagas disease	Gnas
Chagas disease	Akt1
Chagas disease	Bdkrb2
Chagas disease	C1qb
Chagas disease	C3
Chagas disease	Plcb3
Chagas disease	Fadd
Chagas disease	Gna14
Chagas disease	Irak1
Chagas disease	Map2k4
Chagas disease	Ccl2
Chagas disease	Ppp2r1a
Chagas disease	Tgfb3
Chagas disease	Ifng
Chagas disease	Plcb4
Chagas disease	Ccl5
Chagas disease	Calr
Chagas disease	Ace3
Chagas disease	Akt3
Chagas disease	Ppp2r2b
Chagas disease	Gnaq
Chagas disease	Ikbkb
Chagas disease	Ppp2r2c
Chagas disease	Rela
Chagas disease	Pik3ca
Chagas disease	Tgfbr2
African trypanosomiasis	Plcb2
African trypanosomiasis	Ido2
African trypanosomiasis	Il12a
African trypanosomiasis	Hba-a2
African trypanosomiasis	Hbb-bs
African trypanosomiasis	Il6
African trypanosomiasis	Prkca
African trypanosomiasis	Vcam1
African trypanosomiasis	Nppa
African trypanosomiasis	Prkcb
African trypanosomiasis	Fas
African trypanosomiasis	Prkcg
African trypanosomiasis	Hbb-bh2
African trypanosomiasis	Hbb-b1
African trypanosomiasis	F2rl1
African trypanosomiasis	Apoa1
African trypanosomiasis	Plcb1
African trypanosomiasis	Hbb-bt
African trypanosomiasis	Kng2
African trypanosomiasis	Plcb3
African trypanosomiasis	Fasl
African trypanosomiasis	Il18
African trypanosomiasis	Ifng
African trypanosomiasis	Myd88
African trypanosomiasis	Hba-a1
African trypanosomiasis	Plcb4
African trypanosomiasis	Il1b
African trypanosomiasis	Tlr9
African trypanosomiasis	Tnf
African trypanosomiasis	Thop1
African trypanosomiasis	Ido1
African trypanosomiasis	Gnaq
African trypanosomiasis	Hbb-b2
African trypanosomiasis	Lama4
African trypanosomiasis	Kng1
African trypanosomiasis	Il10
African trypanosomiasis	Sele
African trypanosomiasis	Icam1
African trypanosomiasis	Il12b
Asthma	H2-Ab1
Asthma	Il4
Asthma	H2-Ob
Asthma	H2-DMa
Asthma	Fcer1a
Asthma	Il5
Asthma	Cd40lg
Asthma	H2-Aa
Asthma	Fcer1g
Asthma	Epx
Asthma	H2-DMb2
Asthma	Il9
Asthma	Ccl11
Asthma	H2-Ea
Asthma	Il13
Asthma	Cd40
Asthma	Ms4a2
Asthma	H2-Oa
Asthma	Il3
Asthma	Tnf
Asthma	H2-DMb1
Asthma	H2-Eb2
Asthma	H2-Eb1
Asthma	Prg2
Asthma	Il10
Systemic lupus erythematosus	H2-Ab1
Systemic lupus erythematosus	H2-Ob
Systemic lupus erythematosus	H3c8
Systemic lupus erythematosus	C1qa
Systemic lupus erythematosus	Gm6749
Systemic lupus erythematosus	Ctsg
Systemic lupus erythematosus	C2
Systemic lupus erythematosus	Cd40lg
Systemic lupus erythematosus	C1s2
Systemic lupus erythematosus	H2ac20
Systemic lupus erythematosus	H2al1b
Systemic lupus erythematosus	H2al2a
Systemic lupus erythematosus	H3c3
Systemic lupus erythematosus	H2bc11
Systemic lupus erythematosus	H3c15
Systemic lupus erythematosus	H2bc3
Systemic lupus erythematosus	H2al1j
Systemic lupus erythematosus	H2-Ea
Systemic lupus erythematosus	H4c2
Systemic lupus erythematosus	H2al1a
Systemic lupus erythematosus	H2ac10
Systemic lupus erythematosus	H2al2b
Systemic lupus erythematosus	C1s1
Systemic lupus erythematosus	H3c4
Systemic lupus erythematosus	H2ac21
Systemic lupus erythematosus	Tnf
Systemic lupus erythematosus	Macroh2a1
Systemic lupus erythematosus	H3c11
Systemic lupus erythematosus	H2bc27
Systemic lupus erythematosus	H3c6
Systemic lupus erythematosus	H2bc7
Systemic lupus erythematosus	H2ac18
Systemic lupus erythematosus	Ssb
Systemic lupus erythematosus	H2ac12
Systemic lupus erythematosus	C7
Systemic lupus erythematosus	H2ab3
Systemic lupus erythematosus	H3f3b
Systemic lupus erythematosus	H4c8
Systemic lupus erythematosus	Snrpd3
Systemic lupus erythematosus	H4c11
Systemic lupus erythematosus	Fcgr1
Systemic lupus erythematosus	H2bc6
Systemic lupus erythematosus	H2bc15
Systemic lupus erythematosus	H2al1g
Systemic lupus erythematosus	H2ac25
Systemic lupus erythematosus	H2ac23
Systemic lupus erythematosus	H3f4
Systemic lupus erythematosus	H2al1d
Systemic lupus erythematosus	H4c18
Systemic lupus erythematosus	Cd40
Systemic lupus erythematosus	H2al1k
Systemic lupus erythematosus	H2al1e
Systemic lupus erythematosus	H2al2c
Systemic lupus erythematosus	H2ac15
Systemic lupus erythematosus	H2ac24
Systemic lupus erythematosus	Trim21
Systemic lupus erythematosus	H2az2
Systemic lupus erythematosus	H2al1h
Systemic lupus erythematosus	C8b
Systemic lupus erythematosus	H4c12
Systemic lupus erythematosus	H2bc21
Systemic lupus erythematosus	H2al1n
Systemic lupus erythematosus	C1ra
Systemic lupus erythematosus	C1qc
Systemic lupus erythematosus	Il10
Systemic lupus erythematosus	Gm44180
Systemic lupus erythematosus	H2bc22
Systemic lupus erythematosus	H2bc12
Systemic lupus erythematosus	H2bc23
Systemic lupus erythematosus	H2bc24
Systemic lupus erythematosus	Cd28
Systemic lupus erythematosus	C8g
Systemic lupus erythematosus	H2bc8
Systemic lupus erythematosus	C9
Systemic lupus erythematosus	H2al3
Systemic lupus erythematosus	Elane
Systemic lupus erythematosus	Cd80
Systemic lupus erythematosus	C8a
Systemic lupus erythematosus	H3c2
Systemic lupus erythematosus	H2-DMb2
Systemic lupus erythematosus	H2bc14
Systemic lupus erythematosus	H3f3a
Systemic lupus erythematosus	H2ac8
Systemic lupus erythematosus	Actn1
Systemic lupus erythematosus	H2ac19
Systemic lupus erythematosus	Macroh2a2
Systemic lupus erythematosus	H2bc13
Systemic lupus erythematosus	H2bc1
Systemic lupus erythematosus	H2ab2
Systemic lupus erythematosus	H4c1
Systemic lupus erythematosus	H2al1i
Systemic lupus erythematosus	Grin2b
Systemic lupus erythematosus	H2ac4
Systemic lupus erythematosus	H4c9
Systemic lupus erythematosus	Gm47655
Systemic lupus erythematosus	Snrpd1
Systemic lupus erythematosus	H2ac7
Systemic lupus erythematosus	H3c13
Systemic lupus erythematosus	Actn4
Systemic lupus erythematosus	H2-DMb1
Systemic lupus erythematosus	H4c6
Systemic lupus erythematosus	H2-Eb2
Systemic lupus erythematosus	H2-Eb1
Systemic lupus erythematosus	H4c3
Systemic lupus erythematosus	H4c4
Systemic lupus erythematosus	H2-Aa
Systemic lupus erythematosus	H3c10
Systemic lupus erythematosus	H2bw2
Systemic lupus erythematosus	H2bc18
Systemic lupus erythematosus	H2-DMa
Systemic lupus erythematosus	H3f5
Systemic lupus erythematosus	H2al1m
Systemic lupus erythematosus	Ro60
Systemic lupus erythematosus	H3c14
Systemic lupus erythematosus	C4a
Systemic lupus erythematosus	H2ac11
Systemic lupus erythematosus	H2ac1
Systemic lupus erythematosus	C1qb
Systemic lupus erythematosus	C3
Systemic lupus erythematosus	H2ac22
Systemic lupus erythematosus	Fcgr4
Systemic lupus erythematosus	H2al1o
Systemic lupus erythematosus	H2bc9
Systemic lupus erythematosus	Grin2a
Systemic lupus erythematosus	H4c16
Systemic lupus erythematosus	H2al1f
Systemic lupus erythematosus	Fcgr3
Systemic lupus erythematosus	Hc
Systemic lupus erythematosus	H4c14
Systemic lupus erythematosus	H2ac13
Systemic lupus erythematosus	H3f3c
Systemic lupus erythematosus	C1rb
Systemic lupus erythematosus	H3c1
Systemic lupus erythematosus	Ifng
Systemic lupus erythematosus	Snrpb
Systemic lupus erythematosus	H2bl1
Systemic lupus erythematosus	H2ac6
Systemic lupus erythematosus	Cd86
Systemic lupus erythematosus	H2ab1
Systemic lupus erythematosus	H2al1c
Systemic lupus erythematosus	H4c17
Systemic lupus erythematosus	H3c7
Systemic lupus erythematosus	H2-Oa
Systemic lupus erythematosus	C4b
Systemic lupus erythematosus	H2aj
Systemic lupus erythematosus	H2az1
Systemic lupus erythematosus	H2bc4
Systemic lupus erythematosus	C6
Systemic lupus erythematosus	H2ax
Rheumatoid arthritis	H2-Ab1
Rheumatoid arthritis	Itgb2
Rheumatoid arthritis	H2-Ob
